African feather grass|African Feather Grass is an erect perennial grass, commonly 1 to 1.8 metres high, reproducing by seed and rhizomes. It is a native of South Africa. . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1018/African-feather-grass
African Love Grass|African love grass is a vigorous deep rooted clump-forming perennial grass growing 1.5 m tall. It is densely tufted, with narrow leaves that are harsh to the touch, have margins rolled inwards and are usually hairless. . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/382/African-Love-Grass
Akebia|Akebia is a twining vine or ground cover, with leaves of five oval shaped leaflets (3 cm) which meet at a central juncture . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/429/Akebia
Alligator weed|This is a perennial aquatic or terrestrial herb with dark-green waxy leaves in opposite pairs. Stems are hollow and often reddish in colour. White clover-like flower clusters, 1-2 cm in diameter, appear during summer . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/430/Alligator-weed
Aluminium plant|This is a mat-forming perennial ground cover. Stems are square and purple in colour. Aromatic mint-like oval leaves (30-80 x 25-60 mm) are coarsely serrated along the edges . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/431/Aluminium-plant
American Cockroach|The American cockroach Periplaneta americana grows to a length of 2.5 cm to 4 cm and is known to be very mobile. It is found in warmer parts of New Zealand . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/660/American-Cockroach
Argentine Ant|Argentine ants are listed by the World Conservation Union as one of the world's 100 worst invasive species. The ants eat a very wide range of foods and invade native ecosystems and displace native species.  . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1019/Argentine-Ant
Aristea|Aristea is a perennial with stiff, upright, iris-like leaves that grow in clumps up to 70 cm tall. In spring, dozens of small blue flowers are produced, which then turn into seed capsules 2cm long containing flat dark brown seeds. . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/433/Aristea
Arrowhead|Arrowhead is a perennial aquatic herb that grows in static or slow-moving shallow fresh water, such as drains and pond margins. It has a thick rootstock without creeping stems (unlike other sagittarias) . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/434/Arrowhead
Arrowhead|Arrowhead is a herbaceous aquatic perennial that is very similar to S. montevidensis, the difference being its production of rhizomes and tubers. It is not known to flower in New Zealand. . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/2939/Arrowhead
Asian clam|Asian clam is a shellfish with a distinctive uneven overbite and found in estuaries and brackish waters. It is 2-3cm across and the shell is a dirty white, yellow or tan colour. Report any sightings to MPI on 0800 80 99 66 . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1828/Asian-clam
Asian paddle crab|The Asian paddle crab is typically found in estuaries where there is firm sand or muddy fine sand. It's a relatively large crab with paddle-like hind legs. Adults have a shell width of around 12cm. The adults also have six distinct spines or spikes . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1827/Asian-paddle-crab
Asian Paper Wasp|The wasps are about 13mm in size (smaller than German and common wasps) and are typically yellow and black. Males are smaller and more yellow than females. . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1826/Asian-Paper-Wasp
Asian Tiger Mosquito|Adult Asian tiger mosquitoes range in size of approximately 2 mm to 10 mm and have black bodies with a conspicuous pattern of white stripes. There is a distinctive single white band (stripe) down the length of the back. Any sightings must be reported . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1825/Asian-Tiger-Mosquito
Asiatic knotweed|Asiatic knotweed is an upright shrublike herbaceous perennial that can rapidly grow to 3 m in height. It has red-purple shoots which appear early in spring but, as the canes grow, the leaves unfurl and the plant turns green . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/435/Asiatic-knotweed
Asparagus fern|This slender, scrambling, evergreen vine has stems that are feathery and flattened with fine, round leaves in bunches of between 7 to 20 from each node . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/436/Asparagus-fern
Australian Dampwood Termite|There are currently two known colonies of P.adamsoni in New Zealand; one at the Port of Lyttelton in Canterbury and the other at Kaipara Flats in Northland. The Lyttelton infestation is considered controlled within the port area, with infested timber . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1824/Australian-Dampwood-Termite
Australian redback spider|The redback spider is recognisable by its black body (occasionally brownish) with prominent red/orange stripe on its abdomen. The red/orange strip on its abdomen distinguishes it from the false katipo spider. Redback spider females measure about 1 cm . . .|https://apps.mpi.govt.nz/applications/nzpests-view/Article/1823/Australian-redback-spider
